"M2","ThetaPert","ThetaPertG2","ThetaPertG2G3"
7,42.973718585936965,43.07555349298402,43.04745603962535
7.083333333333334,42.992115224380576,43.09241486419243,43.06492909766056
7.166666666666666,43.010098125068076,43.10891606993855,43.082020382360874
7.25,43.02767963358901,43.125066923342736,43.098740729701724
7.333333333333334,43.044871678333564,43.14087696679796,43.115100645028896
7.416666666666667,43.06168578360936,43.15635547521793,43.1311103104321
7.5,43.07813308263454,43.17151145991594,43.14677959242713
7.583333333333333,43.094224330361854,43.18635367300456,43.162118049864276
7.666666666666667,43.109969916095864,43.20089061221977,43.177134941992115
7.75,43.12537987587257,43.21513052608613,43.19183923661569
7.833333333333333,43.140463904576514,43.229081419349896,43.20623961829731
7.916666666666667,43.15523136777577,43.242751058617145,43.22034449655517
8,43.169691313259584,43.2561469781419,43.23416201402273
8.083333333333334,43.18385248226751,43.269276485717135,43.24770005453669
8.166666666666666,43.1977233204021,43.28214666862789,43.26096625112729
8.25,43.211311988219954,43.294764399631404,43.27396799388884
8.333333333333334,43.22462637149888,43.3071363429347,43.286712437712424
8.416666666666666,43.237674091180246,43.319268960143624,43.299206509865996
8.5,43.250462512988065,43.331168516162286,43.31145691741007
8.583333333333334,43.262998756727455,43.342841085024425,43.32347015444029
8.666666666666666,43.27528970526651,43.3542925556418,43.33525250914902
8.75,43.287342013206334,43.36552863745673,43.34681007070199
8.833333333333334,43.299162115245494,43.37655486598893,43.35814873592588
8.916666666666668,43.310756234244984,43.38737660826809,43.36927421580547
9,43.322130389001,43.397999068145786,43.38019204178856
