FixedParameter,M2,ThetaDeg
53.,7.,43.04745603962535
53.,7.083333333333334,43.06492909766056
53.,7.166666666666666,43.082020382360874
53.,7.25,43.098740729701724
53.,7.333333333333334,43.115100645028896
53.,7.416666666666667,43.1311103104321
53.,7.5,43.14677959242713
53.,7.583333333333333,43.162118049864276
53.,7.666666666666667,43.177134941992115
53.,7.75,43.19183923661569
53.,7.833333333333333,43.20623961829731
53.,7.916666666666667,43.22034449655517
53.,8.,43.23416201402273
53.,8.083333333333334,43.24770005453669
53.,8.166666666666666,43.26096625112729
53.,8.25,43.27396799388884
53.,8.333333333333334,43.286712437712424
53.,8.416666666666666,43.299206509865996
53.,8.5,43.31145691741007
53.,8.583333333333334,43.32347015444029
53.,8.666666666666666,43.33525250914902
53.,8.75,43.34681007070199
53.,8.833333333333334,43.35814873592588
53.,8.916666666666668,43.36927421580547
53.,9.,43.38019204178856
54.,7.,43.1494333663614
54.,7.083333333333334,43.168385030922614
54.,7.166666666666666,43.1869291002806
54.,7.25,43.20507679649607
54.,7.333333333333334,43.22283902132627
54.,7.416666666666667,43.24022636150862
54.,7.5,43.257249094565985
54.,7.583333333333333,43.273917195032745
54.,7.666666666666667,43.2902403410137
54.,7.75,43.306227920999085
54.,7.833333333333333,43.32188904086939
54.,7.916666666666667,43.33723253103178
54.,8.,43.352266953638924
54.,8.083333333333334,43.36700060984675
54.,8.166666666666666,43.38144154707453
54.,8.25,43.39559756623587
54.,8.333333333333334,43.409476228913746
54.,8.416666666666666,43.42308486445708
54.,8.5,43.43643057697999
54.,8.583333333333334,43.44952025224783
54.,8.666666666666666,43.46236056443722
54.,8.75,43.474957982759825
54.,8.833333333333334,43.48731877794064
54.,8.916666666666668,43.49944902854562
54.,9.,43.51135462715315
55.,7.,43.24591510949569
55.,7.083333333333334,43.266370126904896
55.,7.166666666666666,43.28639269267619
55.,7.25,43.30599432009072
55.,7.333333333333334,43.32518621877698
55.,7.416666666666667,43.34397929754528
55.,7.5,43.362384167970774
55.,7.583333333333333,43.38041114860651
55.,7.666666666666667,43.39807026972149
55.,7.75,43.41537127847148
55.,7.833333333333333,43.432323644421416
55.,7.916666666666667,43.44893656534815
55.,8.,43.46521897326125
55.,8.083333333333334,43.48117954058689
55.,8.166666666666666,43.49682668646782
55.,8.25,43.512168583137594
55.,8.333333333333334,43.52721316233344
55.,8.416666666666666,43.54196812171676
55.,8.5,43.556440931274395
55.,8.583333333333334,43.57063883967828
55.,8.666666666666666,43.58456888058351
55.,8.75,43.598237878848884
55.,8.833333333333334,43.6116524566656
55.,8.916666666666668,43.62481903932932
55.,9.,43.637743862423356
