FixedParameter,M2,ThetaDeg
53.,7.,42.97371858593695
53.,7.083333333333334,42.992115224380555
53.,7.166666666666666,43.010098125068076
53.,7.25,43.02767963358901
53.,7.333333333333334,43.04487167833355
53.,7.416666666666667,43.06168578360934
53.,7.5,43.07813308263453
53.,7.583333333333333,43.09422433036185
53.,7.666666666666667,43.109969916095864
53.,7.75,43.12537987587256
53.,7.833333333333333,43.1404639045765
53.,7.916666666666667,43.15523136777576
53.,8.,43.16969131325958
53.,8.083333333333334,43.183852482267504
53.,8.166666666666666,43.19772332040209
53.,8.25,43.21131198821994
53.,8.333333333333334,43.22462637149887
53.,8.416666666666666,43.23767409118023
53.,8.5,43.250462512988044
53.,8.583333333333334,43.262998756727455
53.,8.666666666666666,43.27528970526649
53.,8.75,43.28734201320632
53.,8.833333333333334,43.29916211524548
53.,8.916666666666668,43.310756234244984
53.,9.,43.32213038900098
54.,7.,43.07714203764297
54.,7.083333333333334,43.09703819986639
54.,7.166666666666666,43.116494036769694
54.,7.25,43.13552230377063
54.,7.333333333333334,43.15413534922732
54.,7.416666666666667,43.17234512538577
54.,7.5,43.19016319942956
54.,7.583333333333333,43.207600764565875
54.,7.666666666666667,43.22466865109187
54.,7.75,43.24137733739388
54.,7.833333333333333,43.257736960838685
54.,7.916666666666667,43.27375732852323
54.,8.,43.289447927854305
54.,8.083333333333334,43.304817936935166
54.,8.166666666666666,43.31987623473996
54.,8.25,43.33463141106121
54.,8.333333333333334,43.34909177621827
54.,8.416666666666666,43.36326537051817
54.,8.5,43.37715997346232
54.,8.583333333333334,43.39078311269505
54.,8.666666666666666,43.40414207269144
54.,8.75,43.41724390318403
54.,8.833333333333334,43.430095427328546
54.,8.916666666666668,43.44270324961107
54.,9.,43.45507376349869
55.,7.,43.174846929778745
55.,7.083333333333334,43.19626681879164
55.,7.166666666666666,43.217220820183584
55.,7.25,43.237721999759984
55.,7.333333333333334,43.25778303304904
55.,7.416666666666667,43.277416213701855
55.,7.5,43.29663346223472
55.,7.583333333333333,43.315446335028625
55.,7.666666666666667,43.33386603351203
55.,7.75,43.35190341346219
55.,7.833333333333333,43.36956899436915
55.,7.916666666666667,43.386872968813904
55.,8.,43.40382521181905
55.,8.083333333333334,43.420435290136396
55.,8.166666666666666,43.43671247144121
55.,8.25,43.45266573340735
55.,8.333333333333334,43.46830377264206
55.,8.416666666666666,43.48363501346256
55.,8.5,43.498667616499944
55.,8.583333333333334,43.51340948711867
55.,8.666666666666666,43.52786828364245
55.,8.75,43.5420514253796
55.,8.833333333333334,43.5559661004425
55.,8.916666666666668,43.569619273358015
55.,9.,43.583017692466434
