Quantity,Value
Count,50
MeanDeg,43.28450231206213
GaussianSigmaDeg,0.1463673427620441
SampleSigmaDeg,0.14785334373042444
MedianDeg,43.28239518891862
Quantile16Deg,43.13287153768576
Quantile84Deg,43.41878936184874
MinDeg,42.97832262163875
MaxDeg,43.612440779297245
GaussianFit,"NormalDistribution[43.28450231206213, 0.1463673427620441]"
