G2,G3,IncludeG3,Index,M2,mb,mc,Order,RequestedOrder,s0,ThetaDeg,Threshold
0.27771807910503316,0.49918951349683377,True,1.,7.023289145938493,4.20383042462871,1.2708785700080751,total,total,54.85453232668432,43.142538819562,29.972438575956918
0.3531024969049439,0.7207396809057209,True,2.,8.969985995088608,4.187187838347554,1.269173266818897,total,total,53.434090243126676,43.381037743294605,29.771876509973254
0.5134662254951009,0.4331044371500176,True,3.,8.839120324728258,4.1829508593462545,1.2853891667481983,total,total,53.84767044579423,43.31490420245102,29.902742640986677
0.27609857955969597,0.7383244856792547,True,4.,8.392317865720695,4.2093645155833155,1.2735177062477814,total,total,54.503732467717086,43.35438944013059,30.061997458471502
0.6274200943635134,0.34121223844302867,True,5.,7.942523298897367,4.180077461341816,1.2753096503047467,total,total,53.61999899459485,43.22864550627889,29.761248537919432
0.33711554746360833,0.7900392120667407,True,6.,7.816300996479921,4.199090116042343,1.2586547212057149,total,total,54.35735232771115,43.35819114281674,29.786978708507824
0.5456556172531725,0.4678558949014971,True,7.,8.315758775837955,4.202801876750095,1.2503127182826603,total,total,54.533953917366915,43.54121534436516,29.736458786559247
0.5287873753193626,0.6372882344114473,True,8.,8.693686461620356,4.190300075410529,1.2510210517464038,total,total,53.78093209572873,43.52414428077176,29.607975608844388
0.6636469266134735,0.3501228551516758,True,9.,7.453988510711984,4.206904041599635,1.2650628918597908,total,total,54.97267584128641,43.31872422565763,29.94242212087335
0.6659825833292647,0.41936890941610583,True,10.,7.402446358723907,4.200733344747498,1.2559861184735766,total,total,53.09494031890677,43.17970853181193,29.77578730029569
0.5306631363363771,0.7566948216330359,True,11.,8.966367462201813,4.194867336248216,1.254860125335032,total,total,53.464623947910454,43.48600545748737,29.699529405534594
0.40296558455669007,0.6914249263536424,True,12.,7.913466099001216,4.164321215403554,1.2899953926944798,total,total,54.12786061369501,43.18108476225485,29.74956966137404
0.5077652941268266,0.5731583128691312,True,13.,7.776543635997067,4.208593187085939,1.2664876880010534,total,total,53.93823790971827,43.246612286959966,29.976510588743345
0.6564780591517552,0.5329827653717782,True,14.,8.837086309328537,4.208470447864473,1.2851758645659823,total,total,53.24523040637896,43.201280088568005,30.180149806080735
0.26588258445179236,0.3758482628892899,True,15.,7.259434749163248,4.183677784974244,1.273139898270675,total,total,53.70740891955182,43.09140154312309,29.776859228174448
0.6308817263923129,0.8258425740253678,True,16.,8.392977629260134,4.182203830101701,1.2830402201334374,total,total,53.9573636107058,43.28063713053418,29.868892528630575
0.308190099421109,0.34443644390613176,True,17.,8.894680161850182,4.16225799735227,1.282387265566376,total,total,54.00344416710912,43.39106748483805,29.644162039022454
0.5715829697751428,0.8230691847053312,True,18.,7.209679884086522,4.195939961471464,1.2871968710472934,total,total,54.69696258121919,43.080913975172585,30.06478952412384
0.6491981022358383,0.4636748312633865,True,19.,7.524944291453604,4.1859567346906585,1.2604306658768543,total,total,53.723136675218676,43.260298602642294,29.663135717060552
0.6961237487913009,0.6820488373970487,True,20.,8.094264736971285,4.167757447213747,1.2837885434854357,total,total,53.621668898416296,43.21202078997631,29.71935368870833
0.35158009553467495,0.8095671683351612,True,21.,7.600162933899538,4.180710788707118,1.2631712082113418,total,total,54.81791372818497,43.358344737693834,29.63585119637292
0.6243213066253616,0.34155637231698094,True,22.,7.268706050683056,4.206821782995534,1.279729891895268,total,total,53.46765585595047,43.01445960777936,30.102249281247058
0.5088366881272054,0.6109823143199736,True,23.,8.206050029267258,4.201439516963164,1.2752543380687207,total,total,54.7087202031476,43.360630617023695,29.994175581744013
0.5332328368458087,0.2870990400114258,True,24.,7.619652872773356,4.168294590409304,1.258784770613451,total,total,54.4822215286265,43.394432282435325,29.453190390839154
0.6653890684523771,0.3519555686154143,True,25.,8.023392683203085,4.1603477287160135,1.272880603245484,total,total,54.71612845973979,43.41995727565718,29.51997010722912
0.6355490288664815,0.3751904919582987,True,26.,8.187340564415388,4.1939314769536855,1.2815501982056443,total,total,54.40329035983438,43.29753190789372,29.98089957500562
0.33571014444663366,0.49527276378111124,True,27.,8.658874726625655,4.206908867339891,1.25608313871214,total,total,53.82917707392739,43.45100484761202,29.84428165818839
0.36819195542211663,0.3545971939828261,True,28.,7.562255103133638,4.176432281907182,1.2635492772736217,total,total,54.831217179794464,43.36206227224176,29.593399364227214
0.3074043266428575,0.7826530478984683,True,29.,8.993963012454058,4.181235703521966,1.2826037063782731,total,total,53.16823280128827,43.25598560797516,29.853541097178994
0.6776107039859567,0.6003697965995679,True,30.,8.168939826415372,4.203736108125092,1.2529272140854788,total,total,53.00206185066093,43.3185481579323,29.775174611958104
0.5692938491057519,0.2970419058207277,True,31.,8.018824688601782,4.182070796738308,1.2890376472930596,total,total,54.96477086203353,43.292088272183506,29.933027606351327
0.615354093686556,0.5768399701396217,True,32.,8.05588089861119,4.206070866633397,1.2705012741624178,total,total,54.44777889338941,43.33727281594592,29.992842413340846
0.3956026716834061,0.6816945223324026,True,33.,8.870775390486171,4.191539172837882,1.2644171390665462,total,total,53.13141605132201,43.35761538454752,29.76745927740977
0.3556243663841815,0.8121841611646349,True,34.,8.530826473895115,4.209729809942733,1.2877149959177439,total,total,53.1060085666587,43.10032419036317,30.221899393482335
0.40678595822416397,0.4254102506071838,True,35.,8.21594639022379,4.209503211122894,1.2629413399958067,total,total,54.720881930804154,43.43651683507482,29.947649365068752
0.45471734787177237,0.31044596651363904,True,36.,8.775393776917614,4.201400308037388,1.2898104662014207,total,total,53.35482919236752,43.1760274642764,30.15339576711638
0.4187686287362307,0.4335007375313097,True,37.,8.87152518700432,4.193466718763553,1.2784691722199215,total,total,53.69975546285589,43.32884592937643,29.942082395033104
0.6411767394804684,0.5395533825216303,True,38.,7.870801348673444,4.166334809547635,1.2748750199838594,total,total,53.46288563323874,43.21932020151549,29.60676440899016
0.7094949732268298,0.5792741710653271,True,39.,8.332210851731656,4.202829814941682,1.2821812273449857,total,total,53.02786578081792,43.13612142534219,30.085346134006677
0.24195265555631254,0.3963062112657035,True,40.,7.626656891794706,4.206155521196619,1.2824853120321489,total,total,54.45413815286078,43.1497117838105,30.125178196186184
0.5348077822071491,0.4536326691339547,True,41.,7.206886775519498,4.180060425607217,1.2610331933681707,total,total,53.9588037476499,43.214293124792405,29.60549977045468
0.44305790472599155,0.3965373003442881,True,42.,7.89526566352607,4.193883014881734,1.2700509655439636,total,total,54.241942664194305,43.297737421297306,29.8545745424506
0.48951011798956306,0.7326734639961351,True,43.,7.032894714954266,4.176936027647094,1.288524151073864,total,total,54.452072473904664,43.024845826216435,29.87125496518453
0.6612217521190362,0.5171376590769633,True,44.,8.092450237987535,4.165135628650618,1.2543405314725153,total,total,54.999254186452006,43.589647760808816,29.37072185014299
0.5518831224729465,0.7567891035437393,True,45.,8.655687152283557,4.1648748140378276,1.256520693879357,total,total,54.562344539645984,43.61791779272346,29.391529253264626
0.5789714283345591,0.7686013758868576,True,46.,8.39870314326174,4.184581572293647,1.2691697423582116,total,total,53.9999597530738,43.38237445613876,29.74340340206688
0.3978154229148999,0.7455045913885849,True,47.,8.141912915460857,4.175632478121824,1.2622622027750015,total,total,54.821340263070944,43.487867539533305,29.570698560525983
0.36802844011728064,0.6552163633704192,True,48.,8.084570258869505,4.170351371982957,1.257668745781348,total,total,54.65929285489598,43.499148799975735,29.46340239885402
0.5006904866123671,0.6864433523284518,True,49.,7.24000127659696,4.161104008000721,1.274609071746087,total,total,53.03174430849446,43.044691707783024,29.546976685330527
0.33898124508883926,0.48678104108810505,True,50.,7.948034163073805,4.185243534720025,1.268328309524718,total,total,54.106463548650375,43.31018602868064,29.741445860339013
0.5418302863069022,0.7107272215693036,True,51.,8.100619271789466,4.163585808738418,1.2692033240547083,total,total,54.427908361162174,43.41206341099972,29.51519776139509
0.2870355395543333,0.3006457517755797,True,52.,8.939202091022539,4.164466812755375,1.2670824369603997,total,total,53.412526192712335,43.42984471576266,29.501727252087996
0.689726814335958,0.66973555423683,True,53.,8.58788974844308,4.182327455985673,1.2881257734587257,total,total,53.9030708542903,43.2721332403038,29.92585853553865
0.43996576626475153,0.6476304714756818,True,54.,8.250973146052434,4.204235308529078,1.2532542550221124,total,total,54.707831890553194,43.5184247835822,29.784192336270163
0.4552570440236451,0.6144906796722357,True,55.,8.869521717983446,4.177566476338756,1.286824968428524,total,total,54.42712746675279,43.38740093884483,29.859573861645842
0.4911720693169606,0.3182678311324762,True,56.,7.41533462854335,4.167758888355263,1.2508972982503614,total,total,53.997300689943074,43.35268851283608,29.36183486863941
0.6414685631731416,0.6006291038838347,True,57.,8.107961067003691,4.193474219595614,1.289886193039592,total,total,53.63623823564933,43.12989780152989,30.06724141485493
0.3269264110682714,0.6780103579330676,True,58.,7.372174480988793,4.184598957705945,1.252182640685024,total,total,53.68144934884574,43.26094169141828,29.558594148602655
0.5552608887574756,0.7080898402638601,True,59.,8.690352018917926,4.202259418372337,1.2529674099606345,total,total,53.40167937240342,43.44163803364439,29.759499748563815
0.5423964197810905,0.7791996795742208,True,60.,8.213376898825635,4.209916228745816,1.25818694720892,total,total,54.8104862649893,43.48330179565425,29.900152342886273
0.3053400748876062,0.676650506838629,True,61.,8.791638965344253,4.182325238654707,1.2811681217608635,total,total,54.08228620496783,43.35679890356818,29.84975969930503
0.31529230214657367,0.8073329660713008,True,62.,8.53331930908787,4.19970476579833,1.2657835453317152,total,total,54.35755004776571,43.433341089849975,29.87156247909915
0.6767660785269939,0.7512658113699073,True,63.,7.251637919702871,4.17709480154904,1.2772991323294642,total,total,53.84660184900548,43.10532434609682,29.750413185930622
0.45638224768184454,0.576124264447626,True,64.,8.826955462564797,4.19857522752943,1.2754061578696054,total,total,54.53142098723197,43.443058720548315,29.964472207695145
0.35900866374776963,0.3642530273068106,True,65.,7.243493935446851,4.201612759016728,1.2822535629626168,total,total,54.398269298495414,43.0784313008621,30.07278983733926
0.37729206918812375,0.6517055243327213,True,66.,7.744337294580914,4.19470174422631,1.2687629775562788,total,total,53.52740638743032,43.18831781105377,29.849446766162906
0.30190648411001364,0.6373084696495799,True,67.,8.613662512221794,4.166383320619098,1.2797642710841006,total,total,53.825377203920404,43.333682100035325,29.660523590614545
0.465848305905419,0.7988979586183399,True,68.,8.30370925616413,4.17644723594892,1.27624877631587,total,total,53.36663865170154,43.24302854505934,29.731893802168347
0.35879504976239573,0.44398081926900657,True,69.,8.668905739487467,4.180351733604617,1.2754955437382023,total,total,53.07523029141557,43.258978782774484,29.766269513689053
0.33077571583051757,0.32797006911740006,True,70.,7.458986479904162,4.195128963549236,1.269151849895768,total,total,54.32258148509413,43.21790309995379,29.858364808183197
0.4015052725197717,0.3223549448293637,True,71.,8.566037834939983,4.171759939937461,1.287815998977345,total,total,54.98063573982727,43.40913200375669,29.80696943277749
0.6178481186890024,0.5547954841934096,True,72.,8.165847716369372,4.161626463253597,1.2632293308149252,total,total,53.07110877349123,43.314850353165745,29.429060386438813
0.5978500306165567,0.4750373994423941,True,73.,8.412238761267565,4.2034022663469575,1.2694818341041993,total,total,54.71700537220905,43.44276907940981,29.95246037697107
0.5730347259294152,0.5265483989401375,True,74.,8.535907753090997,4.164699719244641,1.2800294938294203,total,total,54.500605544235235,43.42162169153934,29.645076203702097
0.34216810330189207,0.3208333748659192,True,75.,7.650744973803802,4.209254074383169,1.253094158011933,total,total,53.06576959119739,43.21189486633813,29.837248211949895
0.5664500068200772,0.32115913240118654,True,76.,8.95043565840955,4.185145042108707,1.2772223385382875,total,total,53.38803604988491,43.33132769754578,29.837457401156307
0.2693460189099436,0.6665398295493776,True,77.,8.80705120261646,4.195988284040533,1.2722886916743086,total,total,53.71304760449609,43.35230556903973,29.902053083133055
0.4482265561161251,0.5990946768799529,True,78.,8.179713398753202,4.202784990601063,1.2718904386134862,total,total,53.38462406196288,43.21703230193209,29.972071055245504
0.6196220763798931,0.7201083339622815,True,79.,8.686758722400779,4.193168337609615,1.2619949208329597,total,total,54.758599074420864,43.56307926721425,29.75880617626181
0.5161655417042375,0.7210702819863365,True,80.,8.501024729273734,4.206525818481328,1.2893674093547376,total,total,53.24398679904559,43.116851303601564,30.204842371774323
0.44058756531951604,0.3475522927251272,True,81.,8.382055394877156,4.177275647785686,1.2653034273950707,total,total,53.02332097004925,43.29550311070843,29.621666989595425
0.5475703885754286,0.7412865909822396,True,82.,7.79425567811456,4.1619267691348485,1.2704876239143126,total,total,54.17921660822859,43.31713173953287,29.511126137807683
0.6747191451088962,0.8402135761632151,True,83.,8.748197601969373,4.166762048722891,1.252581463884404,total,total,53.30678934509537,43.50650948038535,29.369284107638773
0.4978839894619902,0.377356314871954,True,84.,8.854704261388683,4.162017968424326,1.2678359887097628,total,total,54.663838939578056,43.58650034574239,29.483313995804725
0.658624973030212,0.8416507099022097,True,85.,7.856487059148574,4.170549241026038,1.2792969365553737,total,total,54.916359673977475,43.34058407347198,29.700823359298724
0.4994603136264205,0.8176018449102558,True,86.,8.512993380439516,4.193852038573825,1.267435920764623,total,total,53.63574265789701,43.34825957839756,29.8256661748151
0.5659925987975885,0.3332177569448578,True,87.,7.513060162930999,4.185458225998635,1.2872122176516763,total,total,54.33707583405264,43.12953407866361,29.95012178480369
0.6218064829229006,0.6484449168729398,True,88.,7.767163434374371,4.188908878514294,1.2568561819798993,total,total,54.18565708529766,43.3765383804563,29.656357094099327
0.5426776381116047,0.4706256609532543,True,89.,7.131636296882902,4.2086842332774905,1.2679373123759055,total,total,54.94468365026168,43.210492496810815,29.993383554314992
0.2534841630619118,0.7081651587590222,True,90.,8.643654859312598,4.16994465304429,1.2810880328300172,total,total,53.77755017958527,43.31321552877623,29.713757342470064
0.6792666719361953,0.6298366024727436,True,91.,8.286456305894006,4.1737356010289846,1.2804764035152956,total,total,54.2596289357987,43.3365861691401,29.74842859051493
0.6095223133922211,0.796717869538631,True,92.,8.99160753876135,4.201836856559128,1.2822593222673366,total,total,53.77011516140481,43.31883333764874,30.075310898619023
0.5020630311764263,0.7746577719159762,True,93.,8.725249882889452,4.1950254015657995,1.2505959733799137,total,total,54.90855854543195,43.66039489003837,29.654792159265636
0.6394459060097386,0.45634581139895086,True,94.,7.097200689111837,4.205001641173983,1.2670641755968832,total,total,54.04261528666432,43.13039677059562,29.943504303072203
0.6197558452273485,0.30419704324585994,True,95.,8.025448406150076,4.17710595430414,1.285997567054397,total,total,53.428326543955514,43.14645109652938,29.845500085080047
0.31434957487812193,0.8071328288274476,True,96.,7.3172768437039934,4.177271366176424,1.2678083802985092,total,total,53.45375076405694,43.12014480843346,29.648893445471522
0.6838489700994053,0.8207468562354719,True,97.,7.359028339946033,4.205518464153386,1.2722860150948898,total,total,54.34701618593499,43.17866161282559,30.00634191287247
0.285056964811869,0.4528196276383613,True,98.,8.672186563677528,4.2028380975694555,1.2634604222917234,total,total,54.17584382179647,43.44716469664808,29.880419508236518
0.6162306860574811,0.7192808518362953,True,99.,8.31151528181941,4.195038556023795,1.2634826236702128,total,total,53.84750329009503,43.37677405544627,29.795453469168066
0.5499929499941104,0.4933110057206334,True,100.,8.258420404645372,4.192818030175835,1.2649894585559986,total,total,53.081579845061924,43.265462566637716,29.787662584057284
0.5765001740554786,0.2875783649932963,True,101.,7.368401628200576,4.201156246057074,1.2552276748221647,total,total,53.87672350649681,43.25882841099301,29.772125492029502
0.6192081002246966,0.5884845424741716,True,102.,7.940678565835968,4.184458982371553,1.2538794001344133,total,total,53.06611561645919,43.308274182437174,29.575524362637612
