FixedParameter,M2,ThetaDeg
53.,7.,43.10840321273713
53.,7.083333333333334,43.11778061366947
53.,7.166666666666666,43.12753463197032
53.,7.25,43.13759413867622
53.,7.333333333333334,43.14789781252002
53.,7.416666666666667,43.15839273355025
53.,7.5,43.16903319656768
53.,7.583333333333333,43.179779706719714
53.,7.666666666666667,43.19059812664004
53.,7.75,43.20145895013562
53.,7.833333333333333,43.21233668192004
53.,7.916666666666667,43.223209306511556
53.,8.,43.234057832340405
53.,8.083333333333334,43.24486589948674
53.,8.166666666666666,43.25561944140824
53.,8.25,43.266306392603916
53.,8.333333333333334,43.27691643546404
53.,8.416666666666666,43.28744078063254
53.,8.5,43.297871976097994
53.,8.583333333333334,43.308203740969226
53.,8.666666666666666,43.318430820507096
53.,8.75,43.32854885949866
53.,8.833333333333334,43.33855429149195
53.,8.916666666666668,43.34844424177075
53.,9.,43.35821644225549
54.,7.,43.20909299070452
54.,7.083333333333334,43.2201118666571
54.,7.166666666666666,43.231470181427774
54.,7.25,43.243098219981455
54.,7.333333333333334,43.254935970608756
54.,7.416666666666667,43.26693173153859
54.,7.5,43.27904093532167
54.,7.583333333333333,43.291225153683385
54.,7.666666666666667,43.30345125252412
54.,7.75,43.31569067230596
54.,7.833333333333333,43.32791881351905
54.,7.916666666666667,43.340114510504314
54.,8.,43.352259579808724
54.,8.083333333333334,43.364338431601794
54.,8.166666666666666,43.376337734602316
54.,8.25,43.38824612653542
54.,8.333333333333334,43.400053963432306
54.,8.416666666666666,43.41175310214966
54.,8.5,43.423336711368776
54.,8.583333333333334,43.43479910706569
54.,8.666666666666666,43.44613560905464
54.,8.75,43.45734241571675
54.,8.833333333333334,43.46841649445294
54.,8.916666666666668,43.479355485759676
54.,9.,43.49015761912829
55.,7.,43.30440664037081
55.,7.083333333333334,43.3170733362125
55.,7.166666666666666,43.330044606613136
55.,7.25,43.343251935472416
55.,7.333333333333334,43.356636424650496
55.,7.416666666666667,43.37014741164882
55.,7.5,43.38374130325334
55.,7.583333333333333,43.39738058816042
55.,7.666666666666667,43.41103299852468
55.,7.75,43.424670795879955
55.,7.833333333333333,43.43827016130047
55.,7.916666666666667,43.45181067322108
55.,8.,43.46527485920912
55.,8.083333333333334,43.47864781031259
55.,8.166666666666666,43.49191684851307
55.,8.25,43.505071239368725
55.,8.333333333333334,43.5181019432136
55.,8.416666666666666,43.531001399336134
55.,8.5,43.54376333843319
55.,8.583333333333334,43.55638261936312
55.,8.666666666666666,43.56885508682562
55.,8.75,43.58117744710222
55.,8.833333333333334,43.5933471594148
55.,8.916666666666668,43.605362340815844
55.,9.,43.617221682824294
