"M2","AA_G2OverPert","AA_G3OverPert","AB_G2OverPert","AB_G3OverPert","BB_G2OverPert","BB_G3OverPert"
7,0.016752306409942845,0.00429684067761562,0.015428798116237399,0.004755459001506245,0.011211771411131333,0.0026938533774953787
7.083333333333334,0.0163240308260569,0.004144056931051611,0.015010895968784,0.004575041553762247,0.010869814647897382,0.0025787757193669113
7.166666666666666,0.01591351958110021,0.0039987969086063115,0.014610274742069869,0.004403263912100599,0.010542612362135714,0.0024698317161650934
7.25,0.01551980106749191,0.003860596203743837,0.014225986097380497,0.004239606953584708,0.010229333546965143,0.002366623809891343
7.333333333333334,0.015141968402795795,0.003729024508616166,0.013857145179398534,0.00408358909499009,0.009929203992911325,0.002268784655586902
7.416666666666667,0.014779174404132319,0.003603682731969763,0.013502925662645356,0.0039347631346629275,0.009641501772875783,0.002175974499356449
7.5,0.014430627004849277,0.0034842003912148676,0.013162555235822656,0.003792713395573177,0.009365553133157505,0.0020878788112260213
7.583333333333333,0.014095585070182553,0.0033702332497851668,0.012835311481040928,0.0036570531376323304,0.009100728750004554,0.002004206145504196
7.666666666666667,0.013773354573279547,0.0032614611742396546,0.01252051810955127,0.003527422211052505,0.008846440315597224,0.001924686204512942
7.75,0.013463285097058596,0.003157586188468416,0.012217541519685725,0.0034034849257642075,0.008602137421265959,0.001849068084347603
7.833333333333333,0.013164766631006361,0.00305833070491498,0.011925787646328331,0.0032849281147480686,0.008367304709192312,0.0017771186837691655
7.916666666666667,0.012877226635229812,0.0029634359149676133,0.011644699074449053,0.003171459371624382,0.008141459266887474,0.0017086212594731782
8,0.012600127346930907,0.0028726603226410696,0.011373752392024289,0.0030628054450298828,0.00792414824143872,0.001643374112858474
8.083333333333334,0.01233296330700493,0.0027857784074040363,0.011112455760328915,0.002958710774233323,0.007714946652904342,0.001581189395069822
8.166666666666666,0.012075259086715525,0.002702579403536272,0.010860346681604202,0.002858936152134218,0.007513455388358367,0.0015218920185414797
8.25,0.01182656719640456,0.002622866184748851,0.010616989946311857,0.0027632575032819537,0.007319299359970464,0.0014653186645486517
8.333333333333334,0.01158646615998261,0.002546454243994153,0.010381975743842019,0.0026714647658708014,0.007132125812182994,0.0014113168774034517
8.416666666666666,0.011354558740539969,0.0024731707594481773,0.010154917922165947,0.002583360867832027,0.006951602764539406,0.0013597442369298314
8.5,0.011130470303843858,0.002402853738583873,0.009935452383335304,0.002498760788176386,0.006777417578049599,0.001310467601732632
8.583333333333334,0.010913847307761215,0.0023353512330848043,0.009723235602995598,0.002417490695655256,0.0066092756341653595,0.0012633624165746104
8.666666666666666,0.010704355906787475,0.002270520618086346,0.009517943263214269,0.00233938715762067,0.006446899116500704,0.0012183120778123545
8.75,0.010501680661884496,0.0022082279298882824,0.009319268988938926,0.0022642964126863238,0.0062900258863813965,0.0011752073515620032
8.833333333333334,0.010305523346748164,0.0021483472568672316,0.009126923179311673,0.0021920737014337307,0.006138408444158125,0.0011339458396932166
8.916666666666668,0.01011560184245007,0.0020907601788386384,0.008940631925882448,0.0021225826499796877,0.00599181296898002,0.0010944314893461336
9,0.00993164911313881,0.00203535525058351,0.008760136010499377,0.0020556947017315,0.005850018430409142,0.0010565741419759163
