FixedParameter,M2,ThetaDeg
53.,7.,42.973718585936965
53.,7.083333333333334,42.99211522438056
53.,7.166666666666666,43.010098125068076
53.,7.25,43.02767963358901
53.,7.333333333333334,43.04487167833356
53.,7.416666666666667,43.06168578360936
53.,7.5,43.07813308263454
53.,7.583333333333333,43.094224330361854
53.,7.666666666666667,43.109969916095864
53.,7.75,43.12537987587257
53.,7.833333333333333,43.140463904576514
53.,7.916666666666667,43.15523136777577
53.,8.,43.169691313259584
53.,8.083333333333334,43.183852482267525
53.,8.166666666666666,43.1977233204021
53.,8.25,43.211311988219954
53.,8.333333333333334,43.22462637149888
53.,8.416666666666666,43.23767409118023
53.,8.5,43.25046251298805
53.,8.583333333333334,43.262998756727455
53.,8.666666666666666,43.2752897052665
53.,8.75,43.28734201320633
53.,8.833333333333334,43.299162115245494
53.,8.916666666666668,43.310756234245
53.,9.,43.322130389001
54.,7.,43.07714203764297
54.,7.083333333333334,43.097038199866404
54.,7.166666666666666,43.11649403676969
54.,7.25,43.13552230377064
54.,7.333333333333334,43.15413534922732
54.,7.416666666666667,43.172345125385775
54.,7.5,43.19016319942957
54.,7.583333333333333,43.207600764565875
54.,7.666666666666667,43.22466865109187
54.,7.75,43.24137733739388
54.,7.833333333333333,43.257736960838685
54.,7.916666666666667,43.27375732852324
54.,8.,43.28944792785432
54.,8.083333333333334,43.304817936935166
54.,8.166666666666666,43.31987623473996
54.,8.25,43.33463141106122
54.,8.333333333333334,43.34909177621828
54.,8.416666666666666,43.36326537051818
54.,8.5,43.37715997346233
54.,8.583333333333334,43.39078311269505
54.,8.666666666666666,43.404142072691464
54.,8.75,43.41724390318403
54.,8.833333333333334,43.43009542732855
54.,8.916666666666668,43.44270324961108
54.,9.,43.455073763498696
55.,7.,43.17484692977875
55.,7.083333333333334,43.19626681879163
55.,7.166666666666666,43.217220820183584
55.,7.25,43.237721999759984
55.,7.333333333333334,43.25778303304904
55.,7.416666666666667,43.27741621370186
55.,7.5,43.29663346223472
55.,7.583333333333333,43.315446335028646
55.,7.666666666666667,43.333866033512045
55.,7.75,43.3519034134622
55.,7.833333333333333,43.369568994369175
55.,7.916666666666667,43.38687296881392
55.,8.,43.40382521181906
55.,8.083333333333334,43.4204352901364
55.,8.166666666666666,43.43671247144123
55.,8.25,43.45266573340737
55.,8.333333333333334,43.468303772642074
55.,8.416666666666666,43.483635013462575
55.,8.5,43.498667616499944
55.,8.583333333333334,43.51340948711868
55.,8.666666666666666,43.527868283642455
55.,8.75,43.5420514253796
55.,8.833333333333334,43.5559661004425
55.,8.916666666666668,43.56961927335802
55.,9.,43.583017692466434
