"M2","s0","mu","PiAA_LO","PiAA_rho1","alphaOverPi_rho1","relative_shift","virtual_plus_field","integrated_dipoles","real_minus_dipoles","breakdown_closure"
8.,54.,2.,0.04719859100155384,0.47527803924629786,0.03933428163031752,0.833378302098522,0.6201553945967881,-0.19697704149906034,0.05209968614857004,-5.551115123125783e-17
8.,54.,3.,0.04719859100155384,0.47527803924629775,0.039334281630317505,0.8333783020985218,0.6501551973045696,-0.22697684420684194,0.05209968614857004,-5.551115123125783e-17
8.,54.,4.18,0.04719859100155384,0.4752780392462975,0.03933428163031749,0.8333783020985215,0.6746971445534036,-0.25151879145567607,0.05209968614857004,0.
8.,54.,5.,0.04719859100155384,0.4752780392462977,0.039334281630317505,0.8333783020985218,0.68795047888271,-0.2647721257849823,0.05209968614857004,0.
