G2,G3,Index,M2,mb,mc,Order,s0,ThetaDeg,Threshold
0.3430590564874519,0.4991895134968337,1.,7.023289145938493,4.202596509554452,1.2708785700080751,pert,54.85453232668432,43.13287153768576,29.95892944659201
0.3933153350207257,0.7207396809057208,2.,8.969985995088608,4.182625406017064,1.269173266818897,pert,53.434090243126676,43.37781279826843,29.72210876913595
0.5002244874141637,0.43310443715001756,3.,8.839120324728258,4.177541031215505,1.2853891667481983,pert,53.84767044579423,43.30130551552976,29.843606347823737
0.3419793901238937,0.7383244856792547,4.,8.392317865720695,4.209237418699979,1.2735177062477814,pert,54.503732467717086,43.34770802995021,30.060603760140925
0.5761937333264388,0.34121223844302867,5.,7.942523298897367,4.174092953610179,1.2753096503047467,pert,53.61999899459485,43.20429843612329,29.695988739554778
0.38265736872650197,0.7900392120667405,6.,7.816300996479921,4.196908139250811,1.2586547212057149,pert,54.35735232771115,43.35153657414156,29.763166124392594
0.5216840819195447,0.46785589490149704,7.,8.315758775837955,4.201362252100114,1.2503127182826603,pert,54.533953917366915,43.51864552010285,29.720759982698016
0.5104385872970048,0.6372882344114473,8.,8.693686461620356,4.186360090492635,1.2510210517464038,pert,53.78093209572873,43.50945572403037,29.565113685976712
0.600344954826412,0.3501228551516758,9.,7.453988510711984,4.2062848499195615,1.2650628918597908,pert,54.97267584128641,43.28239518891862,29.935646111474018
0.6019020593036063,0.4193689094161058,10.,7.402446358723907,4.198880013696997,1.2559861184735766,pert,53.09494031890677,43.144382290296,29.755564519901558
0.5116890946416812,0.7566948216330358,11.,8.966367462201813,4.1918408034978585,1.254860125335032,pert,53.464623947910454,43.47135862116385,29.66655100814907
0.42655739345522314,0.6914249263536423,12.,7.913466099001216,4.155185458484263,1.2899953926944798,pert,54.12786061369501,43.179242330990135,29.64999450204366
0.49642386650198084,0.5731583128691312,13.,7.776543635997067,4.208311824503127,1.2664876880010534,pert,53.93823790971827,43.223487461255864,29.97342970211601
0.5955657098519332,0.5329827653717782,14.,8.837086309328537,4.2081645374373675,1.2851758645659823,pert,53.24523040637896,43.17175830695158,30.176788772282322
0.3351687267186247,0.3758482628892899,15.,7.259434749163248,4.178413341969093,1.273139898270675,pert,53.70740891955182,43.08622581125534,29.719432731168716
0.578501488012305,0.8258425740253676,16.,8.392977629260134,4.17664459612204,1.2830402201334374,pert,53.9573636107058,43.26354754744949,29.80815829285061
0.3633737366981691,0.34443644390613176,17.,8.894680161850182,4.152709596822724,1.282387265566376,pert,54.00344416710912,43.39501246624839,29.540277903551843
0.5389689836008583,0.8230691847053311,18.,7.209679884086522,4.193127953765757,1.2871968710472934,pert,54.69696258121919,43.05860040983538,30.033960185462192
0.590712405241322,0.4636748312633865,19.,7.524944291453604,4.18114808162879,1.2604306658768543,pert,53.723136675218676,43.23215087007782,29.6107792653051
0.6219961696116304,0.6820488373970486,20.,8.094264736971285,4.159308936656496,1.2837885434854357,pert,53.621668898416296,43.192424244949855,29.627310178327445
