"M2","s0","mu","PiAA_LO","PiAA_rho1","alphaOverPi_rho1","relative_shift","virtual_plus_field","integrated_dipoles","real_minus_dipoles","breakdown_closure"
6.,54.,4.18,0.008208507941411798,0.08871361653885326,0.007341989507693058,0.894436548042164,0.1212223627958581,-0.04189058069451815,0.009381834437513299,-1.3877787807814457e-17
7.,54.,4.18,0.022140306754748977,0.2297690955877993,0.01901582141292728,0.8588779560991624,0.3208176338294731,-0.11585789541387982,0.02480935717220599,0.
8.,54.,4.18,0.04719859100155384,0.4752780392462975,0.03933428163031749,0.8333783020985215,0.6746971445534036,-0.25151879145567607,0.05209968614857004,0.
9.,54.,4.18,0.08569440080684512,0.8432458920470626,0.06978751101983689,0.8143765562599322,1.212699433087129,-0.46294707972341786,0.09349353868335145,0.
10.,54.,4.18,0.13876294896316632,1.340938649019272,0.11097684747468035,0.7997584968026185,1.9485676949606185,-0.7576197900389137,0.149990744097567,-2.220446049250313e-16
11.,54.,4.18,0.20650029733876302,1.9667071844923507,0.16276580841367697,0.7882110123389325,2.882151951597718,-1.1369764149913528,0.22153164788598512,-6.661338147750939e-16
12.,54.,4.18,0.28822982781479356,2.7126181761165897,0.22449782755393596,0.7788847852977605,4.003167681859328,-1.5978409653091614,0.30729145956642445,8.881784197001252e-16
