Quantity,Value
Count,1000
MeanDeg,43.2950875223707
GaussianSigmaDeg,0.1513163252823016
SampleSigmaDeg,0.1513920402358925
MedianDeg,43.290775459467234
Quantile16Deg,43.14741993295099
Quantile84Deg,43.45537887790166
MinDeg,42.88308069515013
MaxDeg,43.73760635220145
GaussianFit,"NormalDistribution[43.2950875223707, 0.1513163252823016]"
