Quantity,Value
Count,1000
MeanDeg,43.33774484838489
GaussianSigmaDeg,0.15024062633788413
SampleSigmaDeg,0.15031580303827927
MedianDeg,43.33318391028532
Quantile16Deg,43.183112610295055
Quantile84Deg,43.49219255473769
MinDeg,42.91954756604052
MaxDeg,43.79316576941719
GaussianFit,"NormalDistribution[43.33774484838489, 0.15024062633788413]"
